symbol,name,bucket,ann,vol,sharpe,mdd,sub_ann,sub_sharpe,win,corr_gold,corr_bond
023359,中欧稳添90天滚动持有债券C,其他,0.02895786472987938,0.004288118602989771,3.164260888872019,-0.0006938249578748446,0.02895786472987938,3.164260888872019,1.0,,
010374,西部利得聚兴一年定开混合C,其他,0.053559808753547156,0.034736194511120005,1.0000542251875018,-0.058840835539864744,0.1221556949368987,3.0184742557052022,0.65,,
022612,国泰利添120天滚动持有债券C,其他,0.02412438660569749,0.0029154466496748473,2.835845570022464,-0.0005783132530121637,0.02412438660569749,2.835845570022464,1.0,,
023238,富国安嘉60天滚动持有债券发起式C,其他,0.02687586427990829,0.004044587317003555,2.4009438973015707,-0.0007893438579182899,0.02687586427990829,2.4009438973015707,1.0,,
022404,信澳稳悦60天滚动持有债券C,其他,0.02721752608210637,0.0034685421009050523,2.5540387727254616,-0.002792460357035953,0.02738309664476679,2.3892063167677153,0.95,,
022808,创金合信恒睿90天持有期债券C,其他,0.027100690681347572,0.004327672592069995,2.5211405636206687,-0.0023916292974588416,0.026730774618039632,2.38877445962151,0.9,,
710302,富安达增强收益债券C,其他,-0.017271653535035236,0.11180372650132381,-0.28439160282082093,-0.31191916671864284,0.03528643765243955,2.3394702053943015,0.6,,
010422,海富通消费优选混合C,消费,0.12252151056245708,0.22824389961055233,0.551795296254262,-0.45795566723503545,0.5810312493093579,2.2651562911139185,0.5666666666666667,,
519771,交银优择回报灵活配置混合C,其他,0.3254083071235705,0.24806989241535332,1.224153048017763,-0.2932850880244938,1.3497722101511997,2.251983401891852,0.5333333333333333,,
023031,招商稳嘉120天滚动持有纯债C,其他,0.023064830811382997,0.002971617406213551,2.2466751773936267,-0.0005934718100889524,0.023064830811382997,2.2466751773936267,1.0,,
023925,永赢价值发现慧选混合发起C,其他,0.5735939625577693,0.2211763475019746,2.2238206028511485,-0.15548265714699228,0.5735939625577693,2.2238206028511485,0.75,,
110005,易方达积极成长混合,其他,0.0750215545072832,0.31679431993155666,0.3316197996334869,-0.6397270805304631,1.0213202281358593,2.1875469518484523,0.4666666666666667,,
